Date,Month,Time,Visits,Shaded_Area_Minimal,Shaded_Area_Partial,Shaded_Area_Fully,Water_Area,non_water_area,Weekday,Weekend,Summer,non_summer,Morning,Afternoon,Evening,Night,Extreme,Hot,Average,Cool,Clear,Cloudy,Rainy,Windy,non_windy,Athletic_Zone,Nature_and_Trail_Zone
7/21/2024,7,17,348.6581542,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
7/21/2024,7,18,657.1090969,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
7/21/2024,7,19,914.9341714,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
7/21/2024,7,20,819.8455839,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
7/21/2024,7,21,379.4739001,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
7/22/2024,7,6,69.10954828,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
7/22/2024,7,7,178.1173925,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0
7/22/2024,7,8,334.3857181,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
7/22/2024,7,9,409.195023,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
7/22/2024,7,10,326.1923181,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
7/22/2024,7,11,253.520422,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
7/22/2024,7,12,218.728158,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
7/22/2024,7,13,237.6086016,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
7/22/2024,7,14,256.3703002,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
7/22/2024,7,15,264.3262104,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
7/22/2024,7,16,295.9123614,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
7/22/2024,7,17,468.3299973,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
7/22/2024,7,18,714.6069786,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
7/22/2024,7,19,803.6656749,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
7/22/2024,7,20,711.4008656,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
7/22/2024,7,21,236.4211523,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,6,88.59875575,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,7,228.3473086,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
7/23/2024,7,8,428.6840141,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
7/23/2024,7,9,524.5898837,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,10,418.1800379,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,11,325.0143359,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,12,280.410495,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,13,304.6153097,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,14,328.6678929,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,15,338.867406,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,16,379.3609954,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,17,600.4011902,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,18,916.1294022,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,19,1030.303057,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,20,912.0191507,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
7/23/2024,7,21,303.0929943,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
7/24/2024,7,6,57.64901271,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
7/24/2024,7,7,148.5799297,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
7/24/2024,7,8,278.9340546,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
7/24/2024,7,9,341.3376251,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
7/24/2024,7,10,272.0993779,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
7/24/2024,7,11,211.4787666,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
7/24/2024,7,12,182.4561536,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
7/24/2024,7,13,198.2056262,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
7/24/2024,7,14,213.8560454,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
